username,password,firstname,lastname,email,city,idnumber,course1,role1,group1,course2,role2,group2
constraining_01,hyffbc,Becca,Owen,constraining_01@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - KT,,,
constraining_02,hyffbc,Leusa,Collins,constraining_02@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - KT,,,
constraining_03,hyffbc,Thomas,Mathias,constraining_03@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - KT,,,
constraining_04,hyffbc,Ben,Banfield,constraining_04@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - KT,,,
constraining_05,hyffbc,Eban,Burton,constraining_05@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - KT,,,
constraining_06,hyffbc,Osian,Clarke,constraining_06@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - GJ,,,
constraining_07,hyffbc,Elan,Davies,constraining_07@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - GJ,,,
constraining_08,hyffbc,Mari,Gooding,constraining_08@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - GJ,,,
constraining_09,hyffbc,Hana,Hooper,constraining_09@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - GJ,,,
constraining_10,hyffbc,Tilly,Matulla,constraining_10@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - GJ,,,
constraining_11,hyffbc,Catherine,Padmore,constraining_11@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - JK,,,
constraining_12,hyffbc,Catherine,Parkes,constraining_12@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - JK,,,
constraining_13,hyffbc,Michael,Carr,constraining_13@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - JK,,,
constraining_14,hyffbc,Ross,Morris,constraining_14@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - JK,,,
constraining_15,hyffbc,Chloe,Williams,constraining_15@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - JK,,,
constraining_16,hyffbc,Iwan,Michael,constraining_16@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - CE,,,
constraining_17,hyffbc,Michael,Jones,constraining_17@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - CE,,,
constraining_18,hyffbc,John,Andrew,constraining_18@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - CE,,,
constraining_19,hyffbc,Andrew,Giles,constraining_19@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - CE,,,
constraining_20,hyffbc,Gillian,Morris,constraining_20@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - CE,,,
constraining_21,hyffbc,Marged,Williams,constraining_21@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - RG,,,
constraining_22,hyffbc,Enid,Smith,constraining_22@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - RG,,,
constraining_23,hyffbc,Ceridwen,Tomos,constraining_23@nomail.com,Hyff BC,Medi 2015,Consortia WB e-P Training Sept 2015,5,2015 - KS4 - RG,,,
